City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
484,Kungurtug,RU,50.5994,97.5228,67.14,38,7,8.21
485,Tabas,IR,33.5959,56.9244,83.39,15,0,2.98
486,Bac Lieu,VN,9.285,105.7244,87.62,63,85,7.52
487,Luebo,CD,-5.35,21.4167,69.06,75,30,0.51
488,Neuquen,AR,-38.9516,-68.0591,39.09,65,75,4.61
489,Bilibino,RU,68.0546,166.4372,53.28,37,19,4.38
490,Mattru,SL,7.6244,-11.8332,73.06,98,100,3.98
491,Islamkot,PK,24.6997,70.177,86.88,60,0,10.31
492,Melnikovo,RU,56.5558,84.085,69.26,72,38,10.83
493,Wageningen,NL,51.9667,5.6667,56.03,93,48,2.3
494,Gisborne,NZ,-38.6533,178.0042,53.74,78,72,13.51
495,Wolfenbuttel,DE,52.1667,10.55,57.02,80,20,2.3
496,Margate,GB,51.3813,1.3862,57.31,95,6,10.07
497,Cabra,ES,37.4725,-4.4421,61.66,61,0,4.43
498,Kyra,RU,49.5776,111.9753,73.69,42,14,2.98
499,Jibuti,DJ,11.5,42.5,87.64,34,55,6.58
500,Beaverlodge,CA,55.2166,-119.4361,60.15,71,82,11.52
501,Touho,NC,-20.7833,165.2333,71.83,61,94,8.55
502,Kerouane,GN,9.2667,-9.0167,66.54,99,90,3.67
503,Kattivakkam,IN,13.2167,80.3167,84.29,57,92,12.28
504,Bartlesville,US,36.7473,-95.9808,84.15,74,0,4.61
505,Carutapera,BR,-1.195,-46.02,73.72,94,99,3.22
506,Kurdzhinovo,RU,43.9884,40.9552,59.09,96,100,3.44
507,Praia,CV,14.9215,-23.5087,75.74,94,40,4.61
508,Perth,AU,-31.9333,115.8333,68.34,78,75,4.61
509,Petrovsk-Zabaykalskiy,RU,51.273,108.843,73.15,37,11,8.19
510,Baykit,RU,61.67,96.37,74.64,30,69,4.16
